issue_id,category,label_de,label_en,direction,dataset,variable,question_de,question_en,response_type,binary_rule,n_valid_approx,years_approx,notes
ukraine_military_aid,foreign,Westliche Militärhilfe stärken,Strengthen western military aid to Ukraine,higher=support,ZA8974_allbus,v127,"Die westlichen Länder sollten die militärische Unterstützung der Ukraine verstärken.","Western countries should strengthen military support for Ukraine.",binary_yn,y=1 if <= 1,8896,2023-2024,
defense_spending,foreign,Mehr Geld für Bundeswehr,More money for armed forces,higher=support,ZA8974_allbus,v111,"Die Bundeswehr sollte mehr Geld bekommen.","The armed forces should receive more money.",binary_yn,y=1 if <= 1,4293,2023-2024,
mandatory_service,social,Pflichtjahr,Mandatory service year,higher=support,ZA10100_cross2025,q170,"Es sollte ein allgemeines Pflichtjahr für junge Menschen geben.","There should be a mandatory service year for young people.",scale_1_5,y=1 if <= 2,5500,2025,
mandatory_service,social,Pflichtjahr,Mandatory service year,higher=support,ZA8974_allbus,v112,"Es sollte eine allgemeine Dienstpflicht geben.","There should be a mandatory service obligation.",binary_yn,y=1 if <= 1,1433,2023-2024,
voting_age_16,institutions,Wahlberechtigung ab 16,Voting age 16 for federal elections,higher=support,ZA10100_cross2025,q27n,"Bei Bundestagswahlen sollte man schon ab 16 Jahren wählen dürfen.","People should be allowed to vote in federal elections from the age of 16.",scale_1_5,y=1 if <= 2,5500,2025,
voting_age_16,institutions,Wahlberechtigung ab 16,Voting age 16 for federal elections,higher=support,ZA10101_rcs2025,pre038f,"Bei Bundestagswahlen sollte man schon ab 16 Jahren wählen dürfen.","People should be allowed to vote in federal elections from the age of 16.",scale_1_5,y=1 if <= 2,6500,2025,
voting_age_16,institutions,Wahlberechtigung ab 16,Voting age 16 for federal elections,higher=support,ZA6832_tracking0923,e0113z,"Bei Bundestagswahlen sollte man schon ab 16 Jahren wählen dürfen.","People should be allowed to vote in federal elections from the age of 16.",scale_1_5,y=1 if >= 4,2151,2022-2023,
referendum_federal,institutions,Volksentscheid auf Bundesebene,Federal-level referenda,higher=support,ZA6832_tracking0923,e0113f,"Auf Bundesebene sollten Volksentscheide eingeführt werden.","Referenda should be introduced at the federal level.",scale_1_5,y=1 if >= 4,33725,2009-2023,
gender_equality_too_far,social,Gleichstellung zu weit,Gender equality measures gone too far,higher=agree,ZA10100_cross2025,q27g,"Die Maßnahmen zur Gleichstellung von Frauen und Männern sind zu weit gegangen.","Measures for gender equality between women and men have gone too far.",scale_1_5,y=1 if <= 2,5500,2025,
same_sex_marriage,social,Ehe für gleichgeschlechtliche Paare,Same-sex marriage,higher=support,ZA6832_tracking0923,e0113h,"Gleichgeschlechtliche Ehen sollten erlaubt sein.","Same-sex marriages should be allowed.",scale_1_5,y=1 if >= 4,27262,2009-2023,Legalized 2017 but attitudes still vary
nuclear_energy,energy,Kernenergie,Nuclear energy for energy supply,higher=support,ZA6832_tracking0923,e0113g,"Die Energieversorgung sollte auch durch Atomkraftwerke gesichert werden.","Energy supply should also be secured through nuclear power plants.",scale_1_5,y=1 if >= 4,34076,2009-2023,
religion_orient,culture,Stärker an Geboten Gottes,Stronger orientation toward religious commandments,higher=agree,ZA6832_tracking0923,e0113l,"Das öffentliche Leben in Deutschland sollte sich stärker an den Geboten Gottes orientieren.","Public life in Germany should be more strongly oriented toward the commandments of God.",scale_1_5,y=1 if >= 4,33508,2009-2023,
dmark_return,eu,D-Mark wieder einführen,Reintroduce D-Mark,higher=support,ZA6832_tracking0923,e0113o,"Die D-Mark sollte wieder eingeführt werden.","The D-Mark should be reintroduced.",scale_1_5,y=1 if >= 4,31117,2009-2023,
internet_control,digital,Internet stärker kontrollieren,More internet regulation,higher=support,ZA6832_tracking0923,e0113n,"Das Internet sollte stärker kontrolliert werden.","The internet should be more strictly regulated.",scale_1_5,y=1 if >= 4,29520,2009-2023,
workfare,social,Gemeinnützige Arbeit für Unterstützung,Community work for state support,higher=support,ZA6832_tracking0923,e0113j,"Wer staatliche Unterstützung erhält, sollte gemeinnützige Arbeit leisten müssen.","Those who receive state support should be required to do community service.",scale_1_5,y=1 if >= 4,32680,2009-2023,
econ_current_personal,economy_perception,Eigene wirtschaftliche Lage aktuell,Current personal economic situation,higher=good,ZA6832_tracking0923,e0093,"Wie beurteilen Sie Ihre eigene gegenwärtige wirtschaftliche Lage?","How do you assess your own current economic situation?",scale_1_5,y=1 if <= 2,44897,2009-2023,
econ_current_personal,economy_perception,Eigene wirtschaftliche Lage aktuell,Current personal economic situation,higher=good,ZA10100_cross2025,q13,"Wie beurteilen Sie Ihre eigene gegenwärtige wirtschaftliche Lage?","How do you assess your own current economic situation?",scale_1_5,y=1 if <= 2,7000,2025,
econ_current_personal,economy_perception,Eigene wirtschaftliche Lage aktuell,Current personal economic situation,higher=good,ZA6835_cross_cum0921,v95,"Wie beurteilen Sie Ihre eigene gegenwärtige wirtschaftliche Lage?","How do you assess your own current economic situation?",scale_1_5,y=1 if <= 2,15000,2009-2021,
econ_current_personal,economy_perception,Eigene wirtschaftliche Lage aktuell,Current personal economic situation,higher=good,ZA8974_allbus,v171,"Wie beurteilen Sie Ihre eigene wirtschaftliche Lage heute?","How do you assess your own economic situation today?",scale_1_5,y=1 if <= 2,18407,2023-2024,
econ_current_national,economy_perception,Wirtschaftliche Lage Deutschland aktuell,Current national economic situation,higher=good,ZA6832_tracking0923,e0098,"Wie beurteilen Sie die gegenwärtige allgemeine wirtschaftliche Lage in Deutschland?","How do you assess the current general economic situation in Germany?",scale_1_5,y=1 if <= 2,44700,2009-2023,
econ_current_national,economy_perception,Wirtschaftliche Lage Deutschland aktuell,Current national economic situation,higher=good,ZA10100_cross2025,q23,"Wie beurteilen Sie die gegenwärtige allgemeine wirtschaftliche Lage in Deutschland?","How do you assess the current general economic situation in Germany?",scale_1_5,y=1 if <= 2,7000,2025,
econ_current_national,economy_perception,Wirtschaftliche Lage Deutschland aktuell,Current national economic situation,higher=good,ZA6835_cross_cum0921,v96,"Wie beurteilen Sie die gegenwärtige allgemeine wirtschaftliche Lage in Deutschland?","How do you assess the current general economic situation in Germany?",scale_1_5,y=1 if <= 2,15000,2009-2021,
econ_current_national,economy_perception,Wirtschaftliche Lage Deutschland aktuell,Current national economic situation,higher=good,ZA8974_allbus,v170,"Wie beurteilen Sie die allgemeine wirtschaftliche Lage in Deutschland heute?","How do you assess the general economic situation in Germany today?",scale_1_5,y=1 if <= 2,18342,2023-2024,
econ_retro_personal,economy_perception,Eigene Lage retrospektiv,Personal economic situation retrospective,higher=improved,ZA6832_tracking0923,e0094,"Was glauben Sie, wie ist Ihre eigene wirtschaftliche Lage heute im Vergleich zu vor einem Jahr?","How do you think your own economic situation compares to a year ago?",scale_1_5,y=1 if <= 2,44500,2009-2023,
econ_retro_personal,economy_perception,Eigene Lage retrospektiv,Personal economic situation retrospective,higher=improved,ZA10100_cross2025,q14,"Was glauben Sie, wie ist Ihre eigene wirtschaftliche Lage heute im Vergleich zu vor einem Jahr?","How do you think your own economic situation compares to a year ago?",scale_1_5,y=1 if <= 2,7000,2025,
econ_retro_personal,economy_perception,Eigene Lage retrospektiv,Personal economic situation retrospective,higher=improved,ZA6835_cross_cum0921,v101,"Was glauben Sie, wie ist Ihre eigene wirtschaftliche Lage heute im Vergleich zu vor einem Jahr?","How do you think your own economic situation compares to a year ago?",scale_1_5,y=1 if <= 2,15000,2009-2021,
econ_prospect_personal,economy_perception,Eigene Lage prospektiv,Personal economic situation prospective,higher=will improve,ZA6832_tracking0923,e0097,"Und was glauben Sie, wie wird Ihre eigene wirtschaftliche Lage in einem Jahr sein?","And how do you think your own economic situation will be in one year?",scale_1_5,y=1 if <= 2,44300,2009-2023,
econ_prospect_personal,economy_perception,Eigene Lage prospektiv,Personal economic situation prospective,higher=will improve,ZA10100_cross2025,q16,"Und was glauben Sie, wie wird Ihre eigene wirtschaftliche Lage in einem Jahr sein?","And how do you think your own economic situation will be in one year?",scale_1_5,y=1 if <= 2,7000,2025,
econ_prospect_personal,economy_perception,Eigene Lage prospektiv,Personal economic situation prospective,higher=will improve,ZA6835_cross_cum0921,v99,"Und was glauben Sie, wie wird Ihre eigene wirtschaftliche Lage in einem Jahr sein?","And how do you think your own economic situation will be in one year?",scale_1_5,y=1 if <= 2,15000,2009-2021,
democracy_satisfaction,institutions,Demokratiezufriedenheit,Democracy satisfaction,higher=satisfied,ZA6832_tracking0923,e0069,"Wie zufrieden sind Sie – alles in allem – mit der Demokratie, so wie sie in Deutschland besteht?","How satisfied are you – all in all – with democracy as it exists in Germany?",scale_1_5,y=1 if <= 2,37000,2009-2023,
democracy_satisfaction,institutions,Demokratiezufriedenheit,Democracy satisfaction,higher=satisfied,ZA10100_cross2025,q119,"Wie zufrieden sind Sie – alles in allem – mit der Demokratie, so wie sie in Deutschland besteht?","How satisfied are you – all in all – with democracy as it exists in Germany?",scale_1_5,y=1 if <= 2,5500,2025,Note: 4-point scale in original but harmonized to 5-point
democracy_satisfaction,institutions,Demokratiezufriedenheit,Democracy satisfaction,higher=satisfied,ZA6835_cross_cum0921,v71,"Wie zufrieden sind Sie – alles in allem – mit der Demokratie, so wie sie in Deutschland besteht?","How satisfied are you – all in all – with democracy as it exists in Germany?",scale_1_5,y=1 if <= 2,20755,2009-2021,
democracy_satisfaction,institutions,Demokratiezufriedenheit,Democracy satisfaction,higher=satisfied,ZA8974_allbus,v168,"Wie zufrieden sind Sie – alles in allem – mit der Demokratie, so wie sie in Deutschland besteht?","How satisfied are you – all in all – with democracy as it exists in Germany?",scale_1_5,y=1 if <= 1,6133,2023-2024,
lr_self,ideology,Links-Rechts Selbsteinstufung,Left-right self-placement,continuous,ZA6832_tracking0923,e0083,"Wenn von Politik die Rede ist, hört man immer wieder die Begriffe 'links' und 'rechts'. Wo würden Sie sich auf dieser Skala einstufen?","When people talk about politics, we often hear the terms 'left' and 'right'. Where would you place yourself on this scale?",scale_1_11,continuous,46279,2009-2023,Keep as continuous
lr_self,ideology,Links-Rechts Selbsteinstufung,Left-right self-placement,continuous,ZA10100_cross2025,q37,"Wenn von Politik die Rede ist, hört man immer wieder die Begriffe 'links' und 'rechts'. Wo würden Sie sich auf dieser Skala einstufen?","When people talk about politics, we often hear the terms 'left' and 'right'. Where would you place yourself on this scale?",scale_1_11,continuous,6500,2025,
lr_self,ideology,Links-Rechts Selbsteinstufung,Left-right self-placement,continuous,ZA6835_cross_cum0921,v74,"Wenn von Politik die Rede ist, hört man immer wieder die Begriffe 'links' und 'rechts'. Wo würden Sie sich auf dieser Skala einstufen?","When people talk about politics, we often hear the terms 'left' and 'right'. Where would you place yourself on this scale?",scale_1_11,continuous,15000,2009-2021,
lr_self,ideology,Links-Rechts Selbsteinstufung,Left-right self-placement,continuous,ZA8974_allbus,v166,"Wenn von Politik die Rede ist, hört man immer wieder die Begriffe 'links' und 'rechts'. Wo würden Sie sich auf dieser Skala einstufen?","When people talk about politics, we often hear the terms 'left' and 'right'. Where would you place yourself on this scale?",scale_1_11,continuous,27792,2023-2024,
trust_general,trust,Allgemeines Vertrauen,General social trust,higher=more trust,ZA6832_tracking0923,e0112,"Ganz allgemein gesprochen: Glauben Sie, dass man den meisten Menschen vertrauen kann, oder dass man im Umgang mit Menschen nicht vorsichtig genug sein kann?","Generally speaking, do you believe that most people can be trusted, or that you can't be careful enough when dealing with people?",scale_1_11,y=1 if >= 7,30000,2009-2023,
trust_general,trust,Allgemeines Vertrauen,General social trust,higher=more trust,ZA10100_cross2025,q78,"Ganz allgemein gesprochen: Glauben Sie, dass man den meisten Menschen vertrauen kann, oder dass man im Umgang mit Menschen nicht vorsichtig genug sein kann?","Generally speaking, do you believe that most people can be trusted, or that you can't be careful enough when dealing with people?",scale_1_11,y=1 if >= 7,5500,2025,
political_interest,engagement,Politisches Interesse,Political interest,higher=interested,ZA6832_tracking0923,e0001,"Wie stark interessieren Sie sich für Politik?","How interested are you in politics?",scale_1_5,y=1 if <= 2,50000,2009-2023,
political_interest,engagement,Politisches Interesse,Political interest,higher=interested,ZA10100_cross2025,q1,"Wie stark interessieren Sie sich für Politik?","How interested are you in politics?",scale_1_5,y=1 if <= 2,7000,2025,
political_interest,engagement,Politisches Interesse,Political interest,higher=interested,ZA6835_cross_cum0921,v132,"Wie stark interessieren Sie sich für Politik?","How interested are you in politics?",scale_1_5,y=1 if <= 2,15000,2009-2021,
political_interest,engagement,Politisches Interesse,Political interest,higher=interested,ZA8974_allbus,v167,"Wie stark interessieren Sie sich für Politik?","How interested are you in politics?",scale_1_5,y=1 if <= 2,28985,2023-2024,
fear_immigration,affect,Angst Zuwanderung,Fear of immigration,higher=more fear,ZA10100_cross2025,q38a,"Wenn Sie an die Zuwanderung nach Deutschland denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about immigration to Germany: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,5500,2025,
fear_climate,affect,Angst Klimawandel,Fear of climate change,higher=more fear,ZA6832_tracking0923,e0111c,"Wenn Sie an die Folgen der globalen Klimaerwärmung denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about the consequences of global warming: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,25000,2009-2023,
fear_climate,affect,Angst Klimawandel,Fear of climate change,higher=more fear,ZA10100_cross2025,q38b,"Wenn Sie an die Folgen des Klimawandels denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about the consequences of climate change: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,5500,2025,
fear_economy,affect,Angst wirtschaftliche Lage,Fear about economic situation,higher=more fear,ZA6832_tracking0923,e0111a,"Wenn Sie an die derzeitige wirtschaftliche Lage in Deutschland denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about the current economic situation in Germany: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,25000,2009-2023,
fear_economy,affect,Angst wirtschaftliche Lage,Fear about economic situation,higher=more fear,ZA10100_cross2025,q38e,"Wenn Sie an die wirtschaftliche Lage in Deutschland denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about the economic situation in Germany: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,5500,2025,
fear_war,affect,Angst Ausweitung Ukraine-Krieg,Fear of Ukraine war expansion,higher=more fear,ZA10100_cross2025,q38c,"Wenn Sie an eine Ausweitung des Russland-Ukraine-Krieges denken: Wie ist Ihr Gefühl – haben Sie Befürchtungen?","When you think about an expansion of the Russia-Ukraine war: How do you feel – do you have concerns?",scale_1_7,y=1 if >= 6,5500,2025,
populism_people_decide,populism,Volk soll entscheiden,The people should decide,higher=agree,ZA10100_cross2025,q51b,"Die Bürger und Bürgerinnen und nicht die Politiker sollten die wichtigsten politischen Entscheidungen treffen.","Citizens and not politicians should make the most important political decisions.",scale_1_5,y=1 if <= 2,5500,2025,
populism_compromise,populism,Kompromiss ist Verrat,Compromise is betrayal of principles,higher=agree,ZA10100_cross2025,q51a,"Politische Kompromisse sind eigentlich nichts anderes als ein Verrat von Prinzipien.","Political compromises are really nothing other than a betrayal of principles.",scale_1_5,y=1 if <= 2,5500,2025,
